dataset,algorithm,f1,precision,recall,cover
scanline_126007,PELT,0.5161500815660685,0.35,0.9826086956521738,0.14109642018008553
scanline_126007,BOCPDMS_univ,0.13287049940456583,0.07120743034055728,0.9913043478260869,0.12365307716478284
scanline_126007,BOCPDMS_multi,0.6444007858546168,1.0,0.47536231884057967,0.5027199917012807
scanline_42049,BOCPD,0.20501627113262957,0.12162162162162163,0.6522727272727272,0.2824781528735631
scanline_42049,CUSUM,0.370986920332937,0.23076923076923078,0.9454545454545455,0.16776457863077865
scanline_42049,MicroWatch,0.6548498276710979,0.7142857142857143,0.6045454545454545,0.7837872262378478
scanline_42049,PELT,0.4903846153846153,0.3333333333333333,0.9272727272727274,0.3990257133110755
scanline_42049,BOCPDMS_univ,0.11167086481947942,0.059322033898305086,0.95,0.16806256806256809
scanline_42049,BOCPDMS_multi,0.2756368386675375,1.0,0.15984848484848485,0.2112845293718475
seatbelts,BOCPD,0.18181818181818182,0.10344827586206896,0.7499999999999999,0.19391666666666665
seatbelts,CUSUM,0.40579710144927533,0.2857142857142857,0.7,0.585877519973503
seatbelts,MicroWatch,0.24324324324324323,0.16666666666666666,0.45,0.41141304347826085
seatbelts,PELT,0.2857142857142857,0.16666666666666666,1.0,0.12499999999999997
seatbelts,BOCPDMS_univ,0.09999999999999998,0.05357142857142857,0.7499999999999999,0.26875
seatbelts,BOCPDMS_multi,0.6206896551724138,1.0,0.45,0.5283637152777778
shanghai_license,BOCPD,0.17543859649122806,0.09615384615384616,1.0,0.09853658536585366
shanghai_license,CUSUM,0.32,0.19047619047619047,1.0,0.23146361670741813
shanghai_license,MicroWatch,0.6511627906976745,0.5,0.9333333333333333,0.5896557740540148
shanghai_license,PELT,0.23529411764705882,0.13333333333333333,1.0,0.10926829268292684
shanghai_license,BOCPDMS_univ,0.06944444444444445,0.03597122302158273,1.0,0.20682926829268294
shanghai_license,BOCPDMS_multi,0.6363636363636364,1.0,0.4666666666666667,0.5470886377156454
uk_coal_employ,BOCPD,0.3391812865497076,0.3333333333333333,0.34523809523809523,0.3522054154995331
uk_coal_employ,CUSUM,0.4084507042253521,0.5,0.34523809523809523,0.38559766763848397
uk_coal_employ,MicroWatch,0.5132743362831858,1.0,0.34523809523809523,0.35648072562358274
uk_coal_employ,PELT,0.4951923076923077,0.5,0.4904761904761905,0.3680634920634921
uk_coal_employ,BOCPDMS_univ,0.26875888578800483,0.16326530612244897,0.7595238095238095,0.3767015480053672
uk_coal_employ,BOCPDMS_multi,0.5132743362831858,1.0,0.34523809523809523,0.35648072562358274
unemployment_nl,BOCPD,0.41558441558441556,0.26229508196721313,1.0,0.13825545171339565
unemployment_nl,CUSUM,0.5236261813090655,0.36363636363636365,0.9349999999999999,0.2526030613917972
unemployment_nl,MicroWatch,0.5780590717299577,0.5,0.6849999999999999,0.4356151213056128
unemployment_nl,PELT,0.7730061349693252,1.0,0.63,0.6534952877453548
unemployment_nl,BOCPDMS_univ,0.20645161290322583,0.11510791366906475,1.0,0.22616822429906538
unemployment_nl,BOCPDMS_multi,0.5663082437275986,1.0,0.395,0.5065595248493318
usd_isk,BOCPD,0.3372365339578455,0.20454545454545456,0.96,0.1709238130290762
usd_isk,CUSUM,0.48866498740554154,1.0,0.3233333333333333,0.43629300594994175
usd_isk,MicroWatch,0.31155778894472363,0.25,0.4133333333333334,0.3265872382059075
usd_isk,PELT,0.48866498740554154,1.0,0.3233333333333333,0.43629300594994175
usd_isk,BOCPDMS_univ,0.14489990467111535,0.0784313725490196,0.95,0.2344579397210976
usd_isk,BOCPDMS_multi,0.48866498740554154,1.0,0.3233333333333333,0.43629300594994175
us_population,BOCPD,0.053691275167785234,0.027777777777777776,0.8,0.5618954299634292
