dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
scanline_42049,CUSUM,31.34,30.0,32.8,59.56,9,33
scanline_42049,MicroWatch(idx=0),27.56,100.0,15.98,21.13,0,33
seatbelts,MicroWatch(idx=1),97.44,100.0,95.0,86.5,2,9
seatbelts,MicroWatch(idx=4),97.44,100.0,95.0,86.98,2,9
seatbelts,MicroWatch(idx=3),83.82,75.0,95.0,80.93,3,9
seatbelts,MicroWatch(idx=6),82.35,100.0,70.0,62.48,1,9
seatbelts,BOCPD,82.35,100.0,70.0,59.95,1,9
seatbelts,MicroWatch(idx=5),68.29,66.67,70.0,55.9,2,9
seatbelts,PELT,68.29,66.67,70.0,80.01,2,9
seatbelts,MicroWatch(idx=0),62.07,100.0,45.0,52.84,0,9
seatbelts,MicroWatch(idx=2),62.07,100.0,45.0,52.84,0,9
seatbelts,CUSUM,32.14,25.0,45.0,64.06,3,9
shanghai_license,MicroWatch(idx=1),96.55,100.0,93.33,93.04,1,6
shanghai_license,MicroWatch(idx=4),77.78,66.67,93.33,69.71,2,6
shanghai_license,MicroWatch(idx=5),77.78,66.67,93.33,69.71,2,6
shanghai_license,MicroWatch(idx=6),77.78,66.67,93.33,69.71,2,6
shanghai_license,BOCPD,73.04,60.0,93.33,68.76,4,6
shanghai_license,PELT,71.32,66.67,76.67,66.27,2,6
shanghai_license,MicroWatch(idx=0),63.64,100.0,46.67,54.71,0,6
shanghai_license,CUSUM,55.88,50.0,63.33,52.77,3,6
shanghai_license,MicroWatch(idx=3),48.28,50.0,46.67,73.77,1,6
shanghai_license,MicroWatch(idx=2),38.89,33.33,46.67,59.68,2,6
uk_coal_employ,MicroWatch(idx=0),51.33,100.0,34.52,35.65,0,19
uk_coal_employ,MicroWatch(idx=2),51.33,100.0,34.52,35.65,0,19
uk_coal_employ,MicroWatch(idx=3),51.33,100.0,34.52,35.65,0,19
uk_coal_employ,MicroWatch(idx=4),51.33,100.0,34.52,35.65,0,19
