Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
usd_isk,MicroWatch(idx=1),0.016,0.014,0.071
usd_isk,MicroWatch(idx=2),0.021,0.024,0.13
usd_isk,MicroWatch(idx=3),0.011,0.012,0.078
usd_isk,MicroWatch(idx=4),0.043,0.049,0.291
usd_isk,MicroWatch(idx=5),0.024,0.03,0.157
usd_isk,MicroWatch(idx=6),0.01,0.011,0.067
usd_isk,PELT,4.546,4.791,26.075
well_log,BOCPD,15.468,15.78,137.152
well_log,CUSUM,0.031,0.031,0.209
well_log,MicroWatch(idx=0),0.026,0.026,0.163
well_log,MicroWatch(idx=1),0.101,0.1,0.523
well_log,MicroWatch(idx=2),0.034,0.037,0.218
well_log,MicroWatch(idx=3),0.026,0.028,0.187
well_log,MicroWatch(idx=4),0.139,0.148,0.977
well_log,MicroWatch(idx=5),0.032,0.034,0.215
well_log,MicroWatch(idx=6),0.037,0.038,0.238
well_log,PELT,12.421,25.703,63.761
