dataset,algorithm,f1,precision,recall,cover
bitcoin,MicroWatch(idx=6),0.5984892504357932,0.7142857142857143,0.515,0.7292338046253258
bitcoin,BOCPD,0.44961240310077516,1.0,0.29,0.5162283249537621
bitcoin,CUSUM,0.3548117154811716,0.26666666666666666,0.53,0.27215383720267194
bitcoin,PELT,0.6729141475211609,0.5833333333333334,0.795,0.6898324537812449
brent_spot,MicroWatch(idx=0),0.3146067415730337,1.0,0.18666666666666665,0.2658176
brent_spot,MicroWatch(idx=1),0.662531017369727,0.75,0.5933333333333333,0.6577021261286646
brent_spot,MicroWatch(idx=2),0.23931623931623927,0.3333333333333333,0.18666666666666665,0.4678456822596518
brent_spot,MicroWatch(idx=3),0.23931623931623927,0.3333333333333333,0.18666666666666665,0.4664102496773004
brent_spot,MicroWatch(idx=4),0.6862745098039216,0.8333333333333334,0.5833333333333333,0.6415407355223163
brent_spot,MicroWatch(idx=5),0.4623655913978495,0.5,0.43,0.483838620973102
brent_spot,MicroWatch(idx=6),0.4791666666666666,0.5,0.45999999999999985,0.5466098992747884
brent_spot,BOCPD,0.5436893203883495,1.0,0.3733333333333333,0.5437726357096142
brent_spot,CUSUM,0.4749708963911525,0.4444444444444444,0.51,0.4895780063912662
brent_spot,PELT,0.5207667731629393,0.5,0.5433333333333332,0.6104973840363277
businv,MicroWatch(idx=0),0.5882352941176471,1.0,0.41666666666666663,0.46094765840220386
businv,MicroWatch(idx=1),0.6296296296296295,0.5,0.85,0.7341702741702741
businv,MicroWatch(idx=2),0.45454545454545453,0.5,0.41666666666666663,0.5571041055718475
businv,MicroWatch(idx=3),0.45454545454545453,0.5,0.41666666666666663,0.5544505293902884
businv,MicroWatch(idx=4),0.5588235294117647,0.5,0.6333333333333333,0.7326921986590935
businv,MicroWatch(idx=5),0.45454545454545453,0.5,0.41666666666666663,0.6129307270244195
businv,MicroWatch(idx=6),0.33651551312649164,0.21428571428571427,0.7833333333333333,0.2181670889496976
businv,BOCPD,0.5882352941176471,1.0,0.41666666666666663,0.46094765840220386
businv,CUSUM,0.17543859649122806,0.1111111111111111,0.41666666666666663,0.3143123543123543
businv,PELT,0.5882352941176471,1.0,0.41666666666666663,0.46094765840220386
centralia,MicroWatch(idx=0),0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,MicroWatch(idx=1),0.9090909090909091,1.0,0.8333333333333333,0.7533333333333333
centralia,MicroWatch(idx=2),0.9090909090909091,1.0,0.8333333333333333,0.7533333333333333
centralia,MicroWatch(idx=3),0.9090909090909091,1.0,0.8333333333333333,0.7533333333333333
centralia,MicroWatch(idx=4),0.9090909090909091,1.0,0.8333333333333333,0.7533333333333333
centralia,MicroWatch(idx=5),0.846153846153846,1.0,0.7333333333333333,0.6515555555555554
centralia,MicroWatch(idx=6),0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,BOCPD,0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,CUSUM,0.7628865979381442,1.0,0.6166666666666666,0.6746666666666667
centralia,PELT,0.9090909090909091,1.0,0.8333333333333333,0.5635978835978837
children_per_woman,MicroWatch(idx=0),0.5074626865671642,1.0,0.33999999999999997,0.42910563901060694
children_per_woman,MicroWatch(idx=1),0.6807692307692307,0.6,0.7866666666666666,0.8300516510621161
children_per_woman,MicroWatch(idx=2),0.40476190476190477,0.5,0.33999999999999997,0.691768969744346
children_per_woman,MicroWatch(idx=3),0.5065789473684211,0.5,0.5133333333333333,0.7581050917461887
children_per_woman,MicroWatch(idx=4),0.5800376647834274,0.6666666666666666,0.5133333333333333,0.7873259641213318
